id_hotel2,nombre_hotel,estrellas,precio_noche
hotel_12,Hotel Palacio Imperial,3.0,417.45
hotel_08,Hotel Jardines del Rey,4.0,60.64
hotel_15,Hotel Sol y Luna,1.0,199.01
hotel_16,Hotel Mirador Real,1.0,130.35
hotel_02,Hotel Monte Verde,4.0,205.55
hotel_11,Hotel Torre Dorada,2.0,102.03
hotel_04,Hotel Camino del Sol,2.0,466.5
hotel_02,Hotel Monte Verde,5.0,476.98
hotel_02,Hotel Monte Verde,4.0,350.09
hotel_14,Hotel Los Almendros,4.0,107.27
hotel_04,Hotel Camino del Sol,1.0,185.42
hotel_11,Hotel Torre Dorada,5.0,243.44
hotel_08,Hotel Jardines del Rey,5.0,248.79
hotel_02,Hotel Monte Verde,1.0,177.69
hotel_08,Hotel Jardines del Rey,2.0,151.08
hotel_06,Hotel Encanto Real,4.0,492.76
hotel_18,Hotel Vista Alegre,1.0,229.83
hotel_19,Hotel Costa Azul,2.0,400.28
hotel_07,Palacio del Sol,4.0,300.82
hotel_04,Hotel Camino del Sol,5.0,350.4
hotel_17,Hotel Rincón Sereno,4.0,453.73
hotel_16,Hotel Mirador Real,5.0,427.93
hotel_06,Hotel Encanto Real,3.0,173.56
hotel_04,Hotel Camino del Sol,1.0,193.86
hotel_18,Hotel Vista Alegre,2.0,222.36
hotel_12,Hotel Palacio Imperial,4.0,198.89
hotel_03,Hotel Brisas del Mar,3.0,264.63
hotel_16,Hotel Mirador Real,4.0,269.69
hotel_13,Hotel Luz de Madrid,2.0,201.25
hotel_04,Hotel Camino del Sol,1.0,491.31
hotel_15,Hotel Sol y Luna,1.0,303.97
hotel_09,Hotel Las Estrellas,1.0,440.07
hotel_02,Hotel Monte Verde,3.0,145.24
hotel_14,Hotel Los Almendros,3.0,175.21
hotel_04,Hotel Camino del Sol,1.0,58.71
hotel_06,Hotel Encanto Real,1.0,150.89
hotel_15,Hotel Sol y Luna,5.0,139.7
hotel_07,Palacio del Sol,5.0,263.09
hotel_03,Hotel Brisas del Mar,2.0,364.75
hotel_15,Hotel Sol y Luna,3.0,98.63
hotel_08,Hotel Jardines del Rey,1.0,228.48
hotel_05,Hotel Puerta del Cielo,5.0,363.73
hotel_03,Hotel Brisas del Mar,1.0,242.76
hotel_14,Hotel Los Almendros,4.0,55.68
hotel_12,Hotel Palacio Imperial,2.0,336.0
hotel_11,Hotel Torre Dorada,3.0,421.57
hotel_06,Hotel Encanto Real,3.0,423.82
hotel_11,Hotel Torre Dorada,5.0,387.7
hotel_02,Hotel Monte Verde,2.0,62.9
hotel_02,Hotel Monte Verde,3.0,409.01
hotel_08,Hotel Jardines del Rey,1.0,54.56
hotel_19,Hotel Costa Azul,4.0,269.85
hotel_15,Hotel Sol y Luna,1.0,251.67
hotel_05,Hotel Puerta del Cielo,5.0,361.29
hotel_14,Hotel Los Almendros,5.0,288.9
hotel_07,Palacio del Sol,2.0,163.12
hotel_17,Hotel Rincón Sereno,3.0,147.36
hotel_08,Hotel Jardines del Rey,3.0,491.22
hotel_04,Hotel Camino del Sol,2.0,186.01
hotel_18,Hotel Vista Alegre,4.0,299.0
hotel_17,Hotel Rincón Sereno,4.0,308.32
hotel_16,Hotel Mirador Real,4.0,484.46
hotel_06,Hotel Encanto Real,5.0,230.31
hotel_11,Hotel Torre Dorada,3.0,118.27
hotel_14,Hotel Los Almendros,5.0,103.29
hotel_12,Hotel Palacio Imperial,3.0,221.16
hotel_10,Gran Hotel Madrid,5.0,187.41
hotel_08,Hotel Jardines del Rey,2.0,476.41
hotel_09,Hotel Las Estrellas,5.0,120.67
hotel_17,Hotel Rincón Sereno,3.0,233.82
hotel_12,Hotel Palacio Imperial,1.0,368.12
hotel_11,Hotel Torre Dorada,2.0,404.51
hotel_18,Hotel Vista Alegre,3.0,151.15
hotel_05,Hotel Puerta del Cielo,5.0,76.83
hotel_12,Hotel Palacio Imperial,1.0,464.53
hotel_16,Hotel Mirador Real,5.0,364.87
hotel_10,Gran Hotel Madrid,4.0,86.19
hotel_11,Hotel Torre Dorada,5.0,153.01
hotel_09,Hotel Las Estrellas,4.0,309.3
hotel_09,Hotel Las Estrellas,5.0,462.22
hotel_14,Hotel Los Almendros,3.0,261.49
hotel_02,Hotel Monte Verde,4.0,435.97
hotel_13,Hotel Luz de Madrid,5.0,348.15
hotel_02,Hotel Monte Verde,1.0,191.52
hotel_15,Hotel Sol y Luna,5.0,439.2
hotel_03,Hotel Brisas del Mar,5.0,134.4
hotel_04,Hotel Camino del Sol,2.0,141.59
hotel_17,Hotel Rincón Sereno,1.0,446.37
hotel_05,Hotel Puerta del Cielo,5.0,369.39
hotel_07,Palacio del Sol,4.0,91.93
hotel_05,Hotel Puerta del Cielo,5.0,469.68
hotel_17,Hotel Rincón Sereno,2.0,425.62
hotel_20,Hotel Maravilla Real,2.0,222.6
hotel_14,Hotel Los Almendros,3.0,397.69
hotel_15,Hotel Sol y Luna,3.0,170.22
hotel_17,Hotel Rincón Sereno,3.0,250.94
hotel_08,Hotel Jardines del Rey,2.0,469.77
hotel_14,Hotel Los Almendros,1.0,435.2
hotel_13,Hotel Luz de Madrid,4.0,367.34
hotel_10,Gran Hotel Madrid,2.0,272.89
hotel_07,Palacio del Sol,4.0,199.39
hotel_18,Hotel Vista Alegre,4.0,56.9
hotel_16,Hotel Mirador Real,3.0,83.66
hotel_02,Hotel Monte Verde,5.0,342.42
hotel_17,Hotel Rincón Sereno,5.0,332.05
hotel_05,Hotel Puerta del Cielo,2.0,155.64
hotel_07,Palacio del Sol,4.0,490.24
hotel_10,Gran Hotel Madrid,3.0,456.53
hotel_14,Hotel Los Almendros,2.0,211.3
hotel_09,Hotel Las Estrellas,2.0,304.66
hotel_18,Hotel Vista Alegre,2.0,460.76
hotel_15,Hotel Sol y Luna,4.0,256.8
hotel_03,Hotel Brisas del Mar,5.0,248.77
hotel_12,Hotel Palacio Imperial,3.0,360.63
hotel_07,Palacio del Sol,2.0,433.99
hotel_05,Hotel Puerta del Cielo,1.0,308.66
hotel_10,Gran Hotel Madrid,5.0,304.66
hotel_19,Hotel Costa Azul,5.0,399.07
hotel_16,Hotel Mirador Real,2.0,336.47
hotel_12,Hotel Palacio Imperial,1.0,189.01
hotel_14,Hotel Los Almendros,2.0,197.01
hotel_16,Hotel Mirador Real,2.0,288.87
hotel_06,Hotel Encanto Real,2.0,260.74
hotel_13,Hotel Luz de Madrid,5.0,437.05
hotel_12,Hotel Palacio Imperial,3.0,291.45
hotel_03,Hotel Brisas del Mar,1.0,420.08
hotel_04,Hotel Camino del Sol,3.0,61.25
hotel_12,Hotel Palacio Imperial,3.0,341.43
hotel_10,Gran Hotel Madrid,3.0,112.89
hotel_04,Hotel Camino del Sol,2.0,93.73
hotel_04,Hotel Camino del Sol,4.0,351.71
hotel_17,Hotel Rincón Sereno,5.0,344.7
hotel_03,Hotel Brisas del Mar,2.0,64.71
hotel_07,Palacio del Sol,3.0,434.94
hotel_07,Palacio del Sol,4.0,174.14
hotel_15,Hotel Sol y Luna,1.0,338.76
hotel_11,Hotel Torre Dorada,2.0,494.96
hotel_19,Hotel Costa Azul,3.0,147.17
hotel_18,Hotel Vista Alegre,2.0,174.76
hotel_19,Hotel Costa Azul,5.0,56.68
hotel_18,Hotel Vista Alegre,4.0,169.41
hotel_20,Hotel Maravilla Real,5.0,400.1
hotel_10,Gran Hotel Madrid,5.0,149.69
hotel_13,Hotel Luz de Madrid,4.0,499.35
hotel_12,Hotel Palacio Imperial,1.0,370.57
hotel_06,Hotel Encanto Real,2.0,323.72
hotel_14,Hotel Los Almendros,1.0,277.49
hotel_04,Hotel Camino del Sol,2.0,433.75
hotel_13,Hotel Luz de Madrid,4.0,422.33
hotel_16,Hotel Mirador Real,3.0,242.03
hotel_06,Hotel Encanto Real,1.0,91.04
hotel_04,Hotel Camino del Sol,5.0,313.9
hotel_14,Hotel Los Almendros,1.0,234.85
hotel_08,Hotel Jardines del Rey,2.0,310.05
hotel_03,Hotel Brisas del Mar,5.0,431.26
hotel_04,Hotel Camino del Sol,5.0,413.24
hotel_05,Hotel Puerta del Cielo,3.0,131.18
hotel_11,Hotel Torre Dorada,4.0,441.43
hotel_20,Hotel Maravilla Real,2.0,91.28
hotel_03,Hotel Brisas del Mar,3.0,203.39
hotel_10,Gran Hotel Madrid,1.0,120.0
hotel_20,Hotel Maravilla Real,1.0,147.0
hotel_11,Hotel Torre Dorada,4.0,177.45
hotel_13,Hotel Luz de Madrid,5.0,70.43
hotel_08,Hotel Jardines del Rey,2.0,185.63
hotel_15,Hotel Sol y Luna,4.0,197.65
hotel_04,Hotel Camino del Sol,2.0,
hotel_10,Gran Hotel Madrid,4.0,82.42
hotel_11,Hotel Torre Dorada,4.0,437.94
hotel_15,Hotel Sol y Luna,3.0,101.82
hotel_07,Palacio del Sol,2.0,246.51
hotel_13,Hotel Luz de Madrid,3.0,285.77
hotel_09,Hotel Las Estrellas,1.0,199.87
hotel_08,Hotel Jardines del Rey,3.0,288.76
hotel_18,Hotel Vista Alegre,3.0,156.31
hotel_17,Hotel Rincón Sereno,4.0,478.07
hotel_02,Hotel Monte Verde,3.0,339.34
hotel_05,Hotel Puerta del Cielo,3.0,261.0
hotel_05,Hotel Puerta del Cielo,4.0,278.29
hotel_05,Hotel Puerta del Cielo,1.0,215.92
hotel_10,Gran Hotel Madrid,4.0,311.14
hotel_02,Hotel Monte Verde,5.0,343.32
hotel_12,Hotel Palacio Imperial,1.0,480.97
hotel_12,Hotel Palacio Imperial,5.0,368.42
hotel_05,Hotel Puerta del Cielo,4.0,213.74
hotel_10,Gran Hotel Madrid,3.0,355.49
hotel_13,Hotel Luz de Madrid,3.0,301.07
hotel_18,Hotel Vista Alegre,3.0,86.67
hotel_06,Hotel Encanto Real,3.0,108.02
hotel_14,Hotel Los Almendros,5.0,92.04
hotel_08,Hotel Jardines del Rey,3.0,188.98
hotel_18,Hotel Vista Alegre,2.0,136.39
hotel_20,Hotel Maravilla Real,1.0,396.88
hotel_18,Hotel Vista Alegre,2.0,318.75
hotel_19,Hotel Costa Azul,4.0,213.92
hotel_19,Hotel Costa Azul,3.0,155.29
hotel_05,Hotel Puerta del Cielo,4.0,
hotel_08,Hotel Jardines del Rey,5.0,484.81
hotel_17,Hotel Rincón Sereno,3.0,73.47
hotel_20,Hotel Maravilla Real,1.0,370.12
hotel_18,Hotel Vista Alegre,4.0,457.38
hotel_03,Hotel Brisas del Mar,1.0,417.51
hotel_19,Hotel Costa Azul,4.0,275.89
hotel_02,Hotel Monte Verde,1.0,151.03
hotel_05,Hotel Puerta del Cielo,4.0,111.91
hotel_17,Hotel Rincón Sereno,4.0,391.47
hotel_18,Hotel Vista Alegre,5.0,147.03
hotel_19,Hotel Costa Azul,3.0,399.27
hotel_12,Hotel Palacio Imperial,1.0,238.91
hotel_20,Hotel Maravilla Real,5.0,57.39
hotel_15,Hotel Sol y Luna,5.0,181.06
hotel_06,Hotel Encanto Real,5.0,237.45
hotel_04,Hotel Camino del Sol,5.0,479.02
hotel_13,Hotel Luz de Madrid,4.0,299.36
hotel_16,Hotel Mirador Real,1.0,491.46
hotel_07,Palacio del Sol,5.0,205.15
hotel_03,Hotel Brisas del Mar,5.0,110.02
hotel_06,Hotel Encanto Real,4.0,415.16
hotel_08,Hotel Jardines del Rey,1.0,69.7
hotel_04,Hotel Camino del Sol,4.0,281.91
hotel_10,Gran Hotel Madrid,3.0,210.63
hotel_13,Hotel Luz de Madrid,3.0,452.58
hotel_03,Hotel Brisas del Mar,5.0,361.42
hotel_06,Hotel Encanto Real,4.0,377.18
hotel_06,Hotel Encanto Real,3.0,194.54
hotel_14,Hotel Los Almendros,2.0,250.65
hotel_03,Hotel Brisas del Mar,5.0,251.2
hotel_10,Gran Hotel Madrid,1.0,337.75
hotel_09,Hotel Las Estrellas,1.0,213.48
hotel_06,Hotel Encanto Real,2.0,65.65
hotel_11,Hotel Torre Dorada,1.0,212.96
hotel_06,Hotel Encanto Real,5.0,217.4
hotel_16,Hotel Mirador Real,2.0,229.11
hotel_17,Hotel Rincón Sereno,5.0,381.04
hotel_16,Hotel Mirador Real,4.0,102.98
hotel_18,Hotel Vista Alegre,1.0,140.07
hotel_02,Hotel Monte Verde,3.0,414.72
hotel_05,Hotel Puerta del Cielo,2.0,293.97
hotel_08,Hotel Jardines del Rey,2.0,104.6
hotel_04,Hotel Camino del Sol,5.0,61.82
hotel_06,Hotel Encanto Real,1.0,325.37
hotel_14,Hotel Los Almendros,5.0,234.85
hotel_12,Hotel Palacio Imperial,4.0,339.04
hotel_04,Hotel Camino del Sol,5.0,107.74
hotel_10,Gran Hotel Madrid,1.0,244.67
hotel_02,Hotel Monte Verde,2.0,124.09
hotel_06,Hotel Encanto Real,3.0,452.71
hotel_05,Hotel Puerta del Cielo,5.0,173.49
hotel_11,Hotel Torre Dorada,5.0,338.43
hotel_15,Hotel Sol y Luna,1.0,
hotel_11,Hotel Torre Dorada,4.0,343.0
hotel_04,Hotel Camino del Sol,3.0,274.11
hotel_13,Hotel Luz de Madrid,3.0,267.32
hotel_12,Hotel Palacio Imperial,2.0,237.02
hotel_02,Hotel Monte Verde,3.0,190.65
hotel_20,Hotel Maravilla Real,5.0,392.29
hotel_16,Hotel Mirador Real,4.0,259.9
hotel_13,Hotel Luz de Madrid,5.0,72.76
hotel_08,Hotel Jardines del Rey,2.0,374.5
hotel_05,Hotel Puerta del Cielo,4.0,260.06
hotel_19,Hotel Costa Azul,2.0,277.44
hotel_17,Hotel Rincón Sereno,5.0,72.73
hotel_07,Palacio del Sol,4.0,291.5
hotel_13,Hotel Luz de Madrid,3.0,377.37
hotel_08,Hotel Jardines del Rey,3.0,306.62
hotel_12,Hotel Palacio Imperial,5.0,223.85
hotel_07,Palacio del Sol,4.0,107.89
hotel_03,Hotel Brisas del Mar,2.0,301.01
hotel_10,Gran Hotel Madrid,1.0,230.61
hotel_18,Hotel Vista Alegre,5.0,283.69
hotel_02,Hotel Monte Verde,2.0,197.57
hotel_20,Hotel Maravilla Real,5.0,317.17
hotel_03,Hotel Brisas del Mar,3.0,417.08
hotel_15,Hotel Sol y Luna,5.0,312.66
hotel_11,Hotel Torre Dorada,4.0,374.62
hotel_19,Hotel Costa Azul,1.0,419.74
hotel_14,Hotel Los Almendros,2.0,248.46
hotel_17,Hotel Rincón Sereno,1.0,234.66
hotel_02,Hotel Monte Verde,4.0,143.29
hotel_12,Hotel Palacio Imperial,5.0,480.5
hotel_16,Hotel Mirador Real,5.0,354.13
hotel_05,Hotel Puerta del Cielo,2.0,175.54
hotel_08,Hotel Jardines del Rey,4.0,397.02
hotel_16,Hotel Mirador Real,3.0,302.21
hotel_06,Hotel Encanto Real,3.0,68.92
hotel_04,Hotel Camino del Sol,3.0,146.28
hotel_11,Hotel Torre Dorada,2.0,327.04
hotel_10,Gran Hotel Madrid,1.0,337.07
hotel_09,Hotel Las Estrellas,4.0,484.02
hotel_05,Hotel Puerta del Cielo,3.0,342.73
hotel_06,Hotel Encanto Real,5.0,458.56
hotel_09,Hotel Las Estrellas,4.0,460.94
hotel_10,Gran Hotel Madrid,4.0,470.26
hotel_05,Hotel Puerta del Cielo,1.0,471.46
hotel_04,Hotel Camino del Sol,5.0,178.04
hotel_12,Hotel Palacio Imperial,3.0,432.97
hotel_12,Hotel Palacio Imperial,3.0,198.8
hotel_05,Hotel Puerta del Cielo,5.0,381.47
hotel_13,Hotel Luz de Madrid,4.0,128.96
hotel_07,Palacio del Sol,2.0,230.36
hotel_19,Hotel Costa Azul,1.0,195.61
hotel_16,Hotel Mirador Real,3.0,251.02
hotel_19,Hotel Costa Azul,1.0,344.15
hotel_13,Hotel Luz de Madrid,5.0,188.05
hotel_05,Hotel Puerta del Cielo,3.0,360.62
hotel_17,Hotel Rincón Sereno,2.0,480.8
hotel_08,Hotel Jardines del Rey,2.0,390.8
hotel_20,Hotel Maravilla Real,3.0,286.47
hotel_04,Hotel Camino del Sol,5.0,100.48
hotel_02,Hotel Monte Verde,5.0,117.42
hotel_20,Hotel Maravilla Real,4.0,269.96
hotel_14,Hotel Los Almendros,4.0,109.36
hotel_05,Hotel Puerta del Cielo,1.0,258.06
hotel_14,Hotel Los Almendros,3.0,82.85
hotel_06,Hotel Encanto Real,4.0,497.35
hotel_18,Hotel Vista Alegre,4.0,130.98
hotel_04,Hotel Camino del Sol,2.0,219.03
hotel_04,Hotel Camino del Sol,4.0,103.37
hotel_04,Hotel Camino del Sol,4.0,258.34
hotel_16,Hotel Mirador Real,2.0,205.76
hotel_14,Hotel Los Almendros,5.0,414.26
hotel_07,Palacio del Sol,5.0,142.73
hotel_08,Hotel Jardines del Rey,1.0,155.44
hotel_11,Hotel Torre Dorada,3.0,155.36
hotel_18,Hotel Vista Alegre,5.0,156.6
hotel_04,Hotel Camino del Sol,5.0,173.81
hotel_14,Hotel Los Almendros,5.0,331.69
hotel_13,Hotel Luz de Madrid,5.0,473.7
hotel_05,Hotel Puerta del Cielo,4.0,233.71
hotel_19,Hotel Costa Azul,3.0,263.07
hotel_10,Gran Hotel Madrid,5.0,412.59
hotel_18,Hotel Vista Alegre,4.0,300.77
hotel_06,Hotel Encanto Real,4.0,198.61
hotel_08,Hotel Jardines del Rey,1.0,291.03
hotel_08,Hotel Jardines del Rey,5.0,443.12
hotel_08,Hotel Jardines del Rey,3.0,147.65
hotel_08,Hotel Jardines del Rey,1.0,145.3
hotel_08,Hotel Jardines del Rey,4.0,363.02
hotel_05,Hotel Puerta del Cielo,4.0,194.72
hotel_17,Hotel Rincón Sereno,4.0,211.83
hotel_14,Hotel Los Almendros,1.0,216.81
hotel_15,Hotel Sol y Luna,3.0,383.55
hotel_14,Hotel Los Almendros,3.0,310.6
hotel_11,Hotel Torre Dorada,2.0,153.5
hotel_17,Hotel Rincón Sereno,4.0,165.79
hotel_04,Hotel Camino del Sol,4.0,112.97
hotel_06,Hotel Encanto Real,1.0,65.21
hotel_19,Hotel Costa Azul,1.0,111.86
hotel_12,Hotel Palacio Imperial,3.0,148.41
hotel_14,Hotel Los Almendros,1.0,289.49
hotel_14,Hotel Los Almendros,2.0,57.7
hotel_19,Hotel Costa Azul,2.0,285.96
hotel_16,Hotel Mirador Real,4.0,416.84
hotel_19,Hotel Costa Azul,2.0,256.54
hotel_13,Hotel Luz de Madrid,5.0,232.37
hotel_14,Hotel Los Almendros,3.0,274.93
hotel_11,Hotel Torre Dorada,4.0,153.38
hotel_16,Hotel Mirador Real,5.0,357.98
hotel_02,Hotel Monte Verde,1.0,130.7
hotel_13,Hotel Luz de Madrid,1.0,114.88
hotel_13,Hotel Luz de Madrid,5.0,158.2
hotel_19,Hotel Costa Azul,1.0,93.95
hotel_03,Hotel Brisas del Mar,5.0,270.76
hotel_11,Hotel Torre Dorada,4.0,133.57
hotel_06,Hotel Encanto Real,3.0,370.89
hotel_02,Hotel Monte Verde,3.0,382.83
hotel_12,Hotel Palacio Imperial,3.0,474.32
hotel_09,Hotel Las Estrellas,4.0,109.62
hotel_07,Palacio del Sol,1.0,280.59
hotel_02,Hotel Monte Verde,4.0,91.87
hotel_06,Hotel Encanto Real,5.0,224.5
hotel_09,Hotel Las Estrellas,4.0,307.37
hotel_17,Hotel Rincón Sereno,2.0,185.5
hotel_05,Hotel Puerta del Cielo,4.0,174.17
hotel_19,Hotel Costa Azul,4.0,163.25
hotel_18,Hotel Vista Alegre,3.0,256.03
hotel_13,Hotel Luz de Madrid,3.0,428.72
hotel_18,Hotel Vista Alegre,3.0,416.95
hotel_13,Hotel Luz de Madrid,3.0,129.93
hotel_02,Hotel Monte Verde,4.0,401.88
hotel_08,Hotel Jardines del Rey,5.0,469.42
hotel_04,Hotel Camino del Sol,1.0,356.76
hotel_08,Hotel Jardines del Rey,4.0,474.33
hotel_05,Hotel Puerta del Cielo,2.0,112.62
hotel_13,Hotel Luz de Madrid,1.0,371.85
hotel_14,Hotel Los Almendros,5.0,290.46
hotel_04,Hotel Camino del Sol,5.0,365.73
hotel_19,Hotel Costa Azul,3.0,99.21
hotel_02,Hotel Monte Verde,4.0,485.06
hotel_20,Hotel Maravilla Real,5.0,166.42
hotel_12,Hotel Palacio Imperial,5.0,218.34
hotel_15,Hotel Sol y Luna,4.0,205.23
hotel_06,Hotel Encanto Real,1.0,464.24
hotel_08,Hotel Jardines del Rey,5.0,204.37
hotel_12,Hotel Palacio Imperial,3.0,93.92
hotel_07,Palacio del Sol,1.0,414.57
hotel_02,Hotel Monte Verde,5.0,298.35
hotel_13,Hotel Luz de Madrid,2.0,154.32
hotel_08,Hotel Jardines del Rey,4.0,381.81
hotel_08,Hotel Jardines del Rey,2.0,51.99
hotel_04,Hotel Camino del Sol,2.0,309.8
hotel_16,Hotel Mirador Real,4.0,255.89
hotel_11,Hotel Torre Dorada,1.0,325.08
hotel_05,Hotel Puerta del Cielo,5.0,416.17
hotel_07,Palacio del Sol,2.0,157.35
hotel_14,Hotel Los Almendros,5.0,279.86
hotel_17,Hotel Rincón Sereno,5.0,240.36
hotel_17,Hotel Rincón Sereno,3.0,299.7
hotel_10,Gran Hotel Madrid,3.0,428.88
hotel_13,Hotel Luz de Madrid,5.0,111.43
hotel_17,Hotel Rincón Sereno,4.0,234.1
hotel_06,Hotel Encanto Real,5.0,269.9
hotel_04,Hotel Camino del Sol,3.0,173.67
hotel_17,Hotel Rincón Sereno,5.0,304.53
hotel_04,Hotel Camino del Sol,3.0,101.38
hotel_07,Palacio del Sol,2.0,495.39
hotel_03,Hotel Brisas del Mar,1.0,252.37
hotel_19,Hotel Costa Azul,2.0,399.02
hotel_14,Hotel Los Almendros,2.0,360.1
hotel_11,Hotel Torre Dorada,3.0,412.44
hotel_05,Hotel Puerta del Cielo,3.0,490.54
hotel_14,Hotel Los Almendros,1.0,111.01
hotel_02,Hotel Monte Verde,2.0,115.8
hotel_16,Hotel Mirador Real,4.0,309.83
hotel_06,Hotel Encanto Real,4.0,335.12
hotel_03,Hotel Brisas del Mar,4.0,362.61
hotel_06,Hotel Encanto Real,4.0,311.87
hotel_13,Hotel Luz de Madrid,2.0,408.05
hotel_05,Hotel Puerta del Cielo,3.0,195.28
hotel_17,Hotel Rincón Sereno,3.0,304.75
hotel_12,Hotel Palacio Imperial,1.0,331.77
hotel_14,Hotel Los Almendros,2.0,50.29
hotel_05,Hotel Puerta del Cielo,2.0,446.96
hotel_09,Hotel Las Estrellas,1.0,217.32
hotel_19,Hotel Costa Azul,4.0,376.68
hotel_18,Hotel Vista Alegre,5.0,264.55
hotel_07,Palacio del Sol,4.0,363.01
hotel_13,Hotel Luz de Madrid,1.0,81.86
hotel_03,Hotel Brisas del Mar,3.0,96.43
hotel_09,Hotel Las Estrellas,4.0,303.47
hotel_18,Hotel Vista Alegre,4.0,332.63
hotel_06,Hotel Encanto Real,1.0,436.97
hotel_13,Hotel Luz de Madrid,3.0,315.3
hotel_19,Hotel Costa Azul,3.0,405.97
hotel_05,Hotel Puerta del Cielo,1.0,299.02
hotel_20,Hotel Maravilla Real,2.0,282.98
hotel_19,Hotel Costa Azul,4.0,340.77
hotel_06,Hotel Encanto Real,5.0,274.8
hotel_02,Hotel Monte Verde,2.0,494.09
hotel_09,Hotel Las Estrellas,4.0,295.85
hotel_16,Hotel Mirador Real,2.0,80.38
hotel_13,Hotel Luz de Madrid,5.0,476.9
hotel_13,Hotel Luz de Madrid,1.0,240.6
hotel_16,Hotel Mirador Real,1.0,327.21
hotel_18,Hotel Vista Alegre,5.0,464.41
hotel_06,Hotel Encanto Real,3.0,335.42
hotel_06,Hotel Encanto Real,4.0,76.05
hotel_09,Hotel Las Estrellas,1.0,349.73
hotel_09,Hotel Las Estrellas,4.0,365.66
hotel_16,Hotel Mirador Real,2.0,282.74
hotel_07,Palacio del Sol,1.0,379.81
hotel_06,Hotel Encanto Real,3.0,172.38
hotel_17,Hotel Rincón Sereno,4.0,332.38
hotel_11,Hotel Torre Dorada,2.0,274.81
hotel_11,Hotel Torre Dorada,1.0,397.99
hotel_15,Hotel Sol y Luna,2.0,51.15
hotel_18,Hotel Vista Alegre,2.0,222.33
hotel_14,Hotel Los Almendros,3.0,194.8
hotel_07,Palacio del Sol,5.0,307.18
hotel_20,Hotel Maravilla Real,1.0,130.69
hotel_05,Hotel Puerta del Cielo,3.0,444.64
hotel_03,Hotel Brisas del Mar,2.0,255.53
